"Quantity","Quantité"
"Movement","Mouvement"
"In Stock","En stock"
"Message","Message"
"User","Utilisateur"
"Date","Date"
"Stock Movements","Mouvements de stock"
"Stock saved automatically","Stock sauvegardé automatiquement"
"Stock saved manually","Stock sauvegardé manuellement"
"Product ordered (order: %s)","Produit commandé (commande : %s)"
"Product ordered (orders: %s)","Produit commandé (commandes : %s)"
"Product restocked","Produit réapprovisionné"
"Product import","Import produit"
"Product restocked after order cancellation (order: %s)","Produit réapprovisionné après annulation d'une commande (commande : %s)"
"Product restocked after credit memo creation (credit memo: %s)","Produit réapprovisionné après création d'un avoir (avoir : %s)"
"Stock saved from Magento API","Estoque salvo a partir da API do Magento"
