"Quantity","Ilość"
"Movement","Zmiana"
"In Stock","w magazynie"
"Message","Komentarz"
"User","Użytkownik"
"Date","Data"
"Stock Movements","Stock Movements"
"Stock saved automatically","Wartość zmieniona automatycznie"
"Stock saved manually","Wartość zmieniona ręcznie"
"Product ordered (order: %s)","Produkt kupiony (zamówienie: %s)"
"Product ordered (orders: %s)","Produkt kupiony (zamówienia: %s)"
"Product restocked","Product zwrócony"
"Product import","Import produktu"
"Product restocked after order cancellation (order: %s)","Produkt zwrócony po anulowaniu zamówienia (zamówienie: %s)"
"Product restocked after credit memo creation (credit memo: %s)","Produkt zwrócony po wystawieniu credit memo (credit memo: %s)"
"Stock saved from Magento API","Wartość zmieniona poprzez Magento API"
