"Quantity","Quantidade"
"Movement","Movimento"
"In Stock","Em Estoque"
"Message","Mensagem"
"User","Usuário"
"Date","Data"
"Stock Movements","Quantidade em Estoque"
"Stock saved automatically","Estoque salvo automaticamente"
"Stock saved manually","Estoque salvo manualmente"
"Product ordered (order: %s)","Produto requisitado (pedido : %s)"
"Product ordered (orders: %s)","Produto requisitado (pedidos : %s)"
"Product restocked","Produto devolvido ao estoque"
"Product import","Produto importado"
"Product restocked after order cancellation (order: %s)","Produto devolvido ao estoque depois de cancelamento (pedido : %s)"
"Product restocked after credit memo creation (credit memo: %s)","Produto devolvido ao estoque após criação de memorando de crédito (memorando de crédito : %s)"
"Stock saved from Magento API","Estoque salvo a partir da API do Magento"
